iteration,1,2,3,4
827,15041,17012,47500,112
828,15044,17013,47468,111
829,15043,17011,47471,111
830,15043,17011,47460,112
831,15043,17012,47470,114
832,15045,17015,47474,114
833,15045,17013,47490,113
834,15046,17013,47464,112
835,15049,17011,47469,111
836,15050,17010,47462,112
837,15051,17011,47463,111
838,15052,17011,47427,108
839,15049,17010,47439,108
840,15049,17008,47474,107
841,15047,17008,47471,107
842,15045,17009,47443,107
843,15044,17006,47468,106
844,15046,17007,47434,107
845,15047,17003,47436,106
846,15048,17000,47438,104
847,15047,16997,47414,103
848,15047,16994,47418,103
849,15048,16992,47418,103
850,15042,16990,47400,105
851,15041,16989,47389,107
852,15040,16987,47423,106
853,15040,16988,47407,106
854,15040,16992,47351,107
855,15039,16991,47350,107
856,15036,16994,47364,107
857,15034,16995,47362,107
858,15033,16993,47333,107
859,15030,16995,47310,105
860,15032,16998,47254,105
861,15035,16995,47234,104
862,15032,16993,47192,103
863,15029,16993,47191,104
864,15031,16991,47158,103
865,15032,16988,47129,103
866,15030,16985,47101,102
867,15029,16984,47121,102
868,15026,16984,47065,102
869,15027,16982,47084,104
870,15026,16982,47072,102
871,15026,16982,47033,103
872,15024,16975,47051,103
873,15025,16972,47054,102
874,15013,16969,47067,102
875,15009,16962,47003,101
876,15006,16960,46989,101
877,15001,16955,46998,101
878,14994,16954,47048,101
879,14985,16949,47056,103
880,14982,16948,47092,104
881,14973,16949,47042,104
882,14970,16940,47047,106
883,14966,16935,47058,103
884,14961,16932,47049,104
885,14960,16934,47139,104
886,14958,16925,47166,104
887,14954,16922,47172,104
888,14955,16917,47123,104
889,14949,16910,47166,103
890,14947,16907,47179,102
891,14948,16902,47206,103
892,14950,16898,47201,103
893,14950,16894,47198,103
894,14944,16893,47250,104
895,14941,16889,47260,103
896,14934,16884,47341,106
897,14928,16882,47355,109
898,14928,16877,47308,109
899,14929,16874,47375,109
900,14924,16872,47449,109
901,14917,16864,47464,109
902,14918,16865,47514,108
903,14917,16861,47567,106
904,14917,16859,47556,106
905,14916,16856,47610,107
906,14909,16855,47608,107
907,14905,16851,47642,106
908,14901,16851,47648,106
909,14900,16849,47718,105
910,14898,16850,47667,106
911,14897,16849,47709,105
912,14898,16849,47732,106
913,14897,16852,47759,105
914,14896,16850,47764,105
915,14897,16851,47762,107
916,14896,16847,47775,108
917,14897,16845,47756,109
918,14893,16845,47749,110
919,14891,16844,47775,110
920,14888,16845,47766,109
921,14888,16846,47763,110
922,14888,16844,47792,109
923,14888,16843,47786,110
924,14889,16843,47789,112
925,14890,16844,47794,111
926,14891,16845,47809,111
927,14891,16844,47785,111
928,14889,16844,47777,111
929,14891,16845,47779,111
930,14891,16843,47793,109
931,14890,16844,47792,107
932,14890,16843,47795,108
933,14889,16843,47809,109
934,14889,16841,47806,110
935,14889,16838,47789,110
936,14890,16836,47799,110
937,14892,16836,47823,112
938,14892,16836,47791,113
939,14892,16836,47769,113
940,14891,16836,47767,114
941,14891,16835,47783,114
942,14890,16833,47780,115
943,14890,16831,47756,114
944,14891,16832,47754,114
945,14890,16831,47736,113
946,14892,16832,47766,113
947,14895,16832,47764,112
948,14894,16832,47778,112
949,14893,16829,47781,111
950,14893,16828,47763,111
951,14897,16828,47752,109
952,14896,16830,47742,110
953,14895,16831,47743,110
954,14897,16830,47734,110
955,14898,16831,47737,110
956,14899,16831,47709,110
957,14900,16829,47691,109
958,14903,16828,47663,110
959,14900,16825,47647,110
960,14901,16825,47653,110
961,14902,16825,47627,108
962,14898,16821,47627,108
963,14893,16820,47648,107
964,14898,16823,47606,108
965,14897,16820,47564,108
966,14896,16819,47576,109
967,14895,16819,47567,109
968,14896,16816,47552,110
969,14896,16816,47557,111
970,14896,16813,47558,110
971,14895,16814,47505,110
972,14890,16816,47507,110
973,14890,16816,47471,109
974,14884,16815,47494,109
975,14884,16810,47461,111
976,14881,16806,47430,112
977,14879,16800,47391,112
978,14873,16799,47385,111
979,14867,16796,47441,111
980,14862,16791,47449,111
981,14861,16789,47454,111
982,14857,16786,47448,111
983,14853,16784,47402,111
984,14852,16785,47364,111
985,14850,16782,47298,113
986,14846,16778,47296,112
987,14838,16772,47382,110
988,14835,16761,47413,110
989,14834,16755,47394,110
990,14832,16747,47424,109
991,14828,16743,47398,110
992,14826,16736,47416,111
993,14819,16731,47404,110
994,14814,16725,47478,111
995,14810,16719,47501,112
996,14809,16716,47429,114
997,14801,16707,47477,114
998,14799,16702,47496,112
999,14797,16701,47480,111
1000,14788,16699,47471,110
1001,14786,16694,47511,110
1002,14782,16687,47570,110
1003,14776,16685,47638,111
1004,14776,16676,47609,111
1005,14776,16674,47667,111
1006,14774,16668,47672,111
1007,14772,16665,47735,111
1008,14771,16660,47734,110
1009,14774,16653,47793,112
1010,14772,16648,47788,112
1011,14768,16648,47772,112
1012,14768,16644,47810,109
1013,14770,16645,47826,108
1014,14767,16641,47893,110
1015,14766,16641,47938,109
1016,14761,16636,47897,108
1017,14760,16632,47913,109
1018,14759,16628,47916,109
1019,14758,16625,47927,108
1020,14755,16623,47942,108
1021,14756,16621,47957,108
1022,14754,16622,47981,109
1023,14754,16620,47984,109
1024,14753,16621,47992,108
1025,14751,16617,48040,108
1026,14752,16616,48068,106
1027,14752,16616,48071,106
1028,14751,16616,48072,105
1029,14752,16618,48056,104
1030,14753,16617,48062,105
1031,14756,16617,48087,106
1032,14756,16617,48064,106
1033,14755,16618,48063,109
1034,14756,16617,48066,110
1035,14758,16615,48059,109
1036,14757,16612,48082,109
1037,14757,16614,48052,109
