iteration,1,2,3,4,5
755,2089,3365,6,26629,2015
756,2078,3350,5,26512,2020
757,2071,3324,6,26369,2032
758,2074,3297,6,26220,2022
759,2046,3273,7,26094,2012
760,2022,3249,8,25989,2002
761,2005,3205,9,25810,1968
762,1965,3175,9,25732,1947
763,1936,3139,10,25617,1921
764,1921,3076,11,25497,1889
765,1875,3019,10,25362,1859
766,1852,2961,11,25212,1832
767,1821,2889,11,25114,1783
768,1799,2839,12,24997,1736
769,1764,2784,12,24920,1698
770,1715,2726,12,24895,1657
771,1682,2656,11,24817,1624
772,1631,2597,10,24789,1598
773,1582,2492,10,24735,1568
774,1550,2432,9,24624,1545
775,1529,2370,7,24550,1531
776,1484,2293,9,24569,1498
777,1447,2230,8,24597,1465
778,1428,2180,7,24551,1474
779,1394,2129,8,24557,1445
780,1370,2083,8,24568,1422
781,1351,2047,8,24552,1396
782,1349,2001,8,24555,1376
783,1322,1944,9,24560,1361
784,1317,1927,9,24524,1361
785,1299,1913,10,24518,1344
786,1277,1880,8,24527,1324
787,1277,1833,9,24498,1317
788,1269,1803,10,24510,1292
789,1257,1789,9,24491,1286
790,1259,1792,9,24485,1267
791,1254,1758,9,24486,1256
792,1222,1750,9,24508,1234
793,1218,1761,8,24463,1231
794,1222,1767,9,24426,1213
795,1210,1776,9,24393,1207
796,1205,1775,7,24343,1206
797,1192,1765,6,24357,1193
798,1195,1765,6,24341,1178
799,1205,1749,6,24330,1170
800,1193,1748,6,24288,1180
801,1198,1744,6,24268,1167
802,1213,1749,5,24235,1168
803,1210,1738,5,24220,1181
804,1205,1745,4,24170,1178
805,1209,1734,4,24147,1167
806,1218,1756,4,24105,1159
807,1217,1749,4,24054,1160
808,1192,1760,5,24030,1155
809,1193,1755,5,24039,1153
810,1200,1766,5,23997,1165
811,1203,1759,4,23999,1146
812,1203,1744,5,23994,1153
813,1218,1747,3,23990,1153
814,1215,1764,2,23934,1155
815,1224,1767,3,23938,1141
816,1241,1772,4,23909,1139
817,1238,1796,4,23889,1135
818,1251,1812,4,23865,1143
819,1248,1824,5,23835,1147
820,1247,1821,3,23799,1153
821,1255,1832,6,23753,1151
822,1267,1843,5,23741,1149
823,1263,1856,5,23778,1155
824,1267,1860,5,23793,1146
825,1265,1870,5,23811,1152
826,1258,1880,4,23817,1157
827,1253,1890,5,23802,1163
828,1263,1890,5,23826,1157
829,1260,1911,3,23809,1166
830,1266,1942,3,23810,1173
831,1262,1959,2,23809,1160
832,1263,1989,1,23798,1178
833,1268,1995,1,23801,1183
834,1276,1992,2,23796,1185
835,1279,2016,3,23776,1193
836,1289,2030,3,23768,1191
837,1296,2034,4,23752,1194
